BucketKey;ActiveHeatMode;OT;ST;WR;Count;P20Rate;P50Rate;P80Rate;LastEpochMin
EVO Home|OTB|ST17|WR2;EVO Home;OTB;ST17;WR2;2;0,035294;0,035294;0,052083;29494415
EVO Home|OTB|ST18|WR1;EVO Home;OTB;ST18;WR1;2;0,020833;0,020833;0,071429;29501635
EVO Home+|OTB|ST18|WR3;EVO Home+;OTB;ST18;WR3;1;0,046226;0,046226;0,046226;29518956
EVO Home|OTB|ST18|WR4;EVO Home;OTB;ST18;WR4;1;0,034459;0,034459;0,034459;29460414
EVO Home+|OTB|ST18|WR4;EVO Home+;OTB;ST18;WR4;1;0,025253;0,025253;0,025253;29467114
EVO Home|OTB|ST19|WR1;EVO Home;OTB;ST19;WR1;1;0,033333;0,033333;0,033333;29463122
EVO Home+|OTB|ST19|WR1;EVO Home+;OTB;ST19;WR1;4;0,010377;0,016667;0,037500;29467676
EVO Home+|OTB|ST19|WR2;EVO Home+;OTB;ST19;WR2;1;0,027174;0,027174;0,027174;29467861
EVO Home|OTB|ST20|WR1;EVO Home;OTB;ST20;WR1;2;0,025000;0,025000;0,035714;29463354
EVO Home+|OTB|ST20|WR1;EVO Home+;OTB;ST20;WR1;6;0,014286;0,014706;0,031250;29469315
EVO Home|OTC|ST17|WR1;EVO Home;OTC;ST17;WR1;3;0,025000;0,029310;0,054545;29526074
EVO Home|OTC|ST17|WR2;EVO Home;OTC;ST17;WR2;2;0,055882;0,055882;0,061905;29495892
EVO Home|OTC|ST17|WR3;EVO Home;OTC;ST17;WR3;2;0,053571;0,053571;0,064865;29525166
EVO Home|OTC|ST17|WR4;EVO Home;OTC;ST17;WR4;2;0,036250;0,036250;0,047321;29494894
EVO Home+|OTC|ST17|WR4;EVO Home+;OTC;ST17;WR4;2;0,040000;0,040000;0,047500;29516493
EVO Home|OTC|ST18|WR1;EVO Home;OTC;ST18;WR1;3;0,046875;0,130000;0,166667;29524669
EVO Home|OTC|ST18|WR2;EVO Home;OTC;ST18;WR2;2;0,015517;0,015517;0,058333;29523189
EVO Home|OTC|ST18|WR3;EVO Home;OTC;ST18;WR3;2;0,035915;0,035915;0,039535;29510710
EVO Home+|OTC|ST18|WR3;EVO Home+;OTC;ST18;WR3;6;0,040566;0,040833;0,050000;29520433
EVO Home|OTC|ST18|WR4;EVO Home;OTC;ST18;WR4;1;0,045000;0,045000;0,045000;29464197
EVO Home+|OTC|ST18|WR4;EVO Home+;OTC;ST18;WR4;3;0,044444;0,050000;0,053000;29521836
EVO Home+|OTC|ST19|WR0;EVO Home+;OTC;ST19;WR0;6;0,006452;0,008929;0,041667;29523909
EVO Home+|OTC|ST19|WR1;EVO Home+;OTC;ST19;WR1;4;0,006383;0,057143;0,070000;29525455
EVO Home|OTC|ST19|WR2;EVO Home;OTC;ST19;WR2;1;0,033333;0,033333;0,033333;29464370
EVO Home+|OTC|ST19|WR2;EVO Home+;OTC;ST19;WR2;1;0,044828;0,044828;0,044828;29456203
EVO Home|OTC|ST19|WR3;EVO Home;OTC;ST19;WR3;1;0,033333;0,033333;0,033333;29465817
EVO Home+|OTC|ST19|WR3;EVO Home+;OTC;ST19;WR3;0;;;;29538996
EVO Home+|OTC|ST20|WR0;EVO Home+;OTC;ST20;WR0;3;0,012500;0,023529;0,042857;29517570
EVO Home|OTC|ST20|WR1;EVO Home;OTC;ST20;WR1;4;0,017188;0,020000;0,035294;29466064
EVO Home+|OTC|ST20|WR1;EVO Home+;OTC;ST20;WR1;13;0,012245;0,023810;0,036667;29516906
EVO Home|OTC|ST20|WR2;EVO Home;OTC;ST20;WR2;1;0,040909;0,040909;0,040909;29464646
EVO Home+|OTC|ST20|WR2;EVO Home+;OTC;ST20;WR2;1;0,017347;0,017347;0,017347;29457645
Hybride|OTD|ST17|WR1;Hybride;OTD;ST17;WR1;1;0,075000;0,075000;0,075000;29514616
EVO Home+|OTD|ST17|WR3;EVO Home+;OTD;ST17;WR3;1;0,051064;0,051064;0,051064;29505037
Hybride|OTD|ST17|WR3;Hybride;OTD;ST17;WR3;1;0,168750;0,168750;0,168750;29512173
Hybride+|OTD|ST17|WR4;Hybride+;OTD;ST17;WR4;2;0,108333;0,108333;0,131250;29526589
EVO Home|OTD|ST18|WR1;EVO Home;OTD;ST18;WR1;1;0,042857;0,042857;0,042857;29474643
Hybride|OTD|ST18|WR1;Hybride;OTD;ST18;WR1;2;0,042857;0,042857;0,116667;29531895
Hybride+|OTD|ST18|WR1;Hybride+;OTD;ST18;WR1;1;0,083333;0,083333;0,083333;29503691
Hybride|OTD|ST18|WR2;Hybride;OTD;ST18;WR2;3;0,061364;0,107143;0,264286;29513136
EVO Home|OTD|ST18|WR3;EVO Home;OTD;ST18;WR3;1;0,055128;0,055128;0,055128;29472821
Hybride+|OTD|ST18|WR3;Hybride+;OTD;ST18;WR3;1;0,129412;0,129412;0,129412;29515122
EVO Home+|OTD|ST18|WR4;EVO Home+;OTD;ST18;WR4;1;0,054167;0,054167;0,054167;29507354
Hybride+|OTD|ST18|WR4;Hybride+;OTD;ST18;WR4;1;0,123913;0,123913;0,123913;29527539
Hybride|OTD|ST19|WR0;Hybride;OTD;ST19;WR0;1;0,050000;0,050000;0,050000;29513295
Hybride+|OTD|ST19|WR0;Hybride+;OTD;ST19;WR0;1;0,075000;0,075000;0,075000;29512582
EVO Home|OTD|ST19|WR1;EVO Home;OTD;ST19;WR1;1;0,030556;0,030556;0,030556;29474880
EVO Home+|OTD|ST19|WR1;EVO Home+;OTD;ST19;WR1;1;0,066667;0,066667;0,066667;29505216
Hybride+|OTD|ST19|WR1;Hybride+;OTD;ST19;WR1;3;0,030000;0,107143;0,133333;29531207
EVO Home|OTD|ST19|WR2;EVO Home;OTD;ST19;WR2;1;0,038095;0,038095;0,038095;29471891
EVO Home+|OTD|ST20|WR0;EVO Home+;OTD;ST20;WR0;1;0,062500;0,062500;0,062500;29496572
Hybride+|OTD|ST20|WR0;Hybride+;OTD;ST20;WR0;3;0,006452;0,020000;0,062500;29538486
EVO Home|OTD|ST20|WR1;EVO Home;OTD;ST20;WR1;3;0,031250;0,031579;0,054167;29475062
Hybride+|OTD|ST20|WR1;Hybride+;OTD;ST20;WR1;7;0,030769;0,083333;0,120000;29538344
Hybride|OTE|ST18|WR2;Hybride;OTE;ST18;WR2;2;0,103846;0,103846;0,107143;29533304
Hybride+|OTE|ST18|WR3;Hybride+;OTE;ST18;WR3;1;0,082143;0,082143;0,082143;29536666
Hybride+|OTE|ST19|WR1;Hybride+;OTE;ST19;WR1;1;0,045833;0,045833;0,045833;29535533
Hybride|OTE|ST19|WR2;Hybride;OTE;ST19;WR2;1;0,123077;0,123077;0,123077;29532379
Hybride+|OTE|ST19|WR3;Hybride+;OTE;ST19;WR3;2;0,047619;0,047619;0,066129;29537623
Hybride+|OTE|ST20|WR0;Hybride+;OTE;ST20;WR0;4;0,012500;0,028571;0,087500;29537946
Hybride+|OTE|ST20|WR1;Hybride+;OTE;ST20;WR1;4;0,045833;0,057143;0,087500;29529749
Airco|OTF|ST19|WR2;Airco;OTF;ST19;WR2;1;0,210000;0,210000;0,210000;29535482